# Testing 192 configurations 
# Reading [17] trace.out files from [../experiment-results/Jul-14-0/trace]
# -> Parrot_l1_mm-45.latency_trace.out
# -> Parrot_l1_mm-18.latency_trace.out
# -> Parrot_l1_mm-15.latency_trace.out
# -> Parrot_l1_mm-2.latency_trace.out
# -> Parrot_l1_mm-90.latency_trace.out
# -> Parrot_l1_mm-4.latency_trace.out
# -> Parrot_l1_mm-60.latency_trace.out
# -> Parrot_l1_mm-3.latency_trace.out
# -> Parrot_l1_mm-36.latency_trace.out
# -> Parrot_l1_mm-1.latency_trace.out
# -> Parrot_l1_mm-12.latency_trace.out
# -> Parrot_l1_mm-6.latency_trace.out
# -> Parrot_l1_mm-20.latency_trace.out
# -> Parrot_l1_mm-5.latency_trace.out
# -> Parrot_l1_mm-9.latency_trace.out
# -> Parrot_l1_mm-30.latency_trace.out
# -> Parrot_l1_mm-10.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
mm-12 0.984222 0.0458031 88856069 0.65 100000 3 75 2000 5 2.5 8
mm-6 0.985972 0.0262288 89108457 0.65 100000 3 75 2000 5 2.5 8
mm-20 0.985927 0.207554 88821051 0.65 100000 3 75 2000 5 2.5 8
mm-5 0.98602 0.0860949 89414119 0.65 100000 3 75 2000 5 2.5 8
mm-9 0.982525 0.164843 89040843 0.65 100000 3 75 2000 5 2.5 8
mm-30 0.985865 0.54864 88435671 0.65 100000 3 75 2000 5 2.5 8
mm-10 0.985955 0.134671 88998780 0.65 100000 3 75 2000 5 2.5 8
mm-45 0.985901 1.19949 88657756 0.65 100000 3 100 1500 10 2 8
mm-18 0.985928 0.702223 88831254 0.65 100000 3 100 1500 10 2 8
mm-15 0.985912 1.73791 88727008 0.65 100000 3 100 1500 10 2 8
mm-2 0.986227 0.0193151 90758346 0.65 100000 3 100 1500 10 2 8
mm-90 0.98071 0.0672337 88596045 0.65 100000 3 100 1500 10 2 8
mm-4 0.986034 0.0173257 89500176 0.65 100000 3 100 1500 10 2 8
mm-60 0.971837 0.145411 88909556 0.65 100000 3 100 1500 10 2 8
mm-3 0.986123 1.52759 90078187 0.65 100000 3 100 1500 10 2 8
mm-36 0.971732 1.51367 88580785 0.65 100000 3 100 1500 10 2 8
mm-1 0.986516 0.0199497 92705534 0.65 100000 3 100 1500 10 2 8
mm-12 0.984227 0.0465972 88856069 0.65 100000 3 100 1500 10 2 8
mm-6 0.985972 0.0262288 89108457 0.65 100000 3 100 1500 10 2 8
mm-20 0.985927 0.207554 88821051 0.65 100000 3 100 1500 10 2 8
mm-5 0.984326 0.129297 89414119 0.65 100000 3 100 1500 10 2 8
mm-9 0.982542 0.153694 89040843 0.65 100000 3 100 1500 10 2 8
mm-30 0.985865 0.54864 88435671 0.65 100000 3 100 1500 10 2 8
mm-10 0.985955 0.134671 88998780 0.65 100000 3 100 1500 10 2 8
mm-45 0.983058 0.177076 88657756 0.65 100000 3 100 2000 15 2 4
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 15 2 4
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 15 2 4
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 15 2 4
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 15 2 4
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 15 2 4
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 15 2 4
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 15 2 4
mm-36 0.943487 0.00748333 88580785 0.65 100000 3 100 2000 15 2 4
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 15 2 4
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 15 2 4
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 15 2 4
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 15 2 4
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 15 2 4
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 15 2 4
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 15 2 4
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 15 2 4
mm-45 0.983058 0.177076 88657756 0.65 100000 3 100 2000 5 3 4
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 5 3 4
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 5 3 4
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 5 3 4
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 5 3 4
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 5 3 4
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 5 3 4
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 5 3 4
mm-36 0.985324 0.314084 88580785 0.65 100000 3 100 2000 5 3 4
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 5 3 4
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 5 3 4
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 5 3 4
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 5 3 4
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 5 3 4
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 5 3 4
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 5 3 4
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 5 3 4
mm-45 0.985337 1.13626 88657756 0.65 100000 3 100 2000 15 2.5 6
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 15 2.5 6
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 15 2.5 6
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 15 2.5 6
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 15 2.5 6
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 15 2.5 6
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 15 2.5 6
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 15 2.5 6
mm-36 0.961504 0.191218 88580785 0.65 100000 3 100 2000 15 2.5 6
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 15 2.5 6
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 15 2.5 6
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 15 2.5 6
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 15 2.5 6
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 15 2.5 6
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 15 2.5 6
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 15 2.5 6
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 15 2.5 6
mm-45 0.985337 1.13626 88657756 0.65 100000 3 100 2000 10 3 6
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 10 3 6
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 10 3 6
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 10 3 6
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 10 3 6
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 10 3 6
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 10 3 6
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 10 3 6
mm-36 0.985324 0.314084 88580785 0.65 100000 3 100 2000 10 3 6
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 10 3 6
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 10 3 6
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 10 3 6
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 10 3 6
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 10 3 6
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 10 3 6
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 10 3 6
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 10 3 6
mm-45 0.985038 0.619463 88657756 0.65 100000 3 75 1500 15 2.5 8
mm-18 0.983767 0.978456 88831254 0.65 100000 3 75 1500 15 2.5 8
mm-15 0.981094 0.328176 88727008 0.65 100000 3 75 1500 15 2.5 8
mm-2 0.98664 0.0262875 90758346 0.65 100000 3 75 1500 15 2.5 8
mm-90 0.986314 0.0644188 88596045 0.65 100000 3 75 1500 15 2.5 8
mm-4 0.985179 0.0459027 89500176 0.65 100000 3 75 1500 15 2.5 8
mm-60 0.944084 0.142591 88909556 0.65 100000 3 75 1500 15 2.5 8
mm-3 0.985274 1.77824 90078187 0.65 100000 3 75 1500 15 2.5 8
mm-36 0.94562 0.1933 88580785 0.65 100000 3 75 1500 15 2.5 8
mm-1 0.986921 0.0156076 92705534 0.65 100000 3 75 1500 15 2.5 8
mm-12 0.983772 0.0796775 88856069 0.65 100000 3 75 1500 15 2.5 8
mm-6 0.986393 0.00430092 89108457 0.65 100000 3 75 1500 15 2.5 8
mm-20 0.986349 0.290621 88821051 0.65 100000 3 75 1500 15 2.5 8
mm-5 0.98644 0.0866717 89414119 0.65 100000 3 75 1500 15 2.5 8
mm-9 0.986383 0.163156 89040843 0.65 100000 3 75 1500 15 2.5 8
mm-30 0.986289 0.839646 88435671 0.65 100000 3 75 1500 15 2.5 8
mm-10 0.986376 0.108075 88998780 0.65 100000 3 75 1500 15 2.5 8
mm-45 0.971328 0.522512 88657756 0.65 100000 3 100 2000 20 3 10
mm-18 0.985366 0.429506 88831254 0.65 100000 3 100 2000 20 3 10
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 20 3 10
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 20 3 10
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 20 3 10
mm-4 0.985475 0.00616811 89500176 0.65 100000 3 100 2000 20 3 10
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 20 3 10
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 20 3 10
mm-36 0.943487 0.00748333 88580785 0.65 100000 3 100 2000 20 3 10
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 20 3 10
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 20 3 10
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 20 3 10
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 20 3 10
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 20 3 10
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 20 3 10
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 20 3 10
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 20 3 10
mm-45 0.982416 0.686878 88657756 0.65 100000 3 75 1500 20 3 8
mm-18 0.981116 0.180988 88831254 0.65 100000 3 75 1500 20 3 8
mm-15 0.981094 0.328176 88727008 0.65 100000 3 75 1500 20 3 8
mm-2 0.98664 0.0262875 90758346 0.65 100000 3 75 1500 20 3 8
mm-90 0.986314 0.0644188 88596045 0.65 100000 3 75 1500 20 3 8
mm-4 0.985179 0.0459027 89500176 0.65 100000 3 75 1500 20 3 8
mm-60 0.944084 0.142591 88909556 0.65 100000 3 75 1500 20 3 8
mm-3 0.985274 1.77824 90078187 0.65 100000 3 75 1500 20 3 8
mm-36 0.94562 0.1933 88580785 0.65 100000 3 75 1500 20 3 8
mm-1 0.986921 0.0156076 92705534 0.65 100000 3 75 1500 20 3 8
mm-12 0.983772 0.0796775 88856069 0.65 100000 3 75 1500 20 3 8
mm-6 0.986393 0.00430092 89108457 0.65 100000 3 75 1500 20 3 8
mm-20 0.986349 0.290621 88821051 0.65 100000 3 75 1500 20 3 8
mm-5 0.98644 0.0866717 89414119 0.65 100000 3 75 1500 20 3 8
mm-9 0.986383 0.163156 89040843 0.65 100000 3 75 1500 20 3 8
mm-30 0.986289 0.839646 88435671 0.65 100000 3 75 1500 20 3 8
mm-10 0.986376 0.108075 88998780 0.65 100000 3 75 1500 20 3 8
mm-45 0.986324 1.45131 88657756 0.65 100000 3 75 1500 5 3 8
mm-18 0.983767 0.978456 88831254 0.65 100000 3 75 1500 5 3 8
mm-15 0.986334 1.98927 88727008 0.65 100000 3 75 1500 5 3 8
mm-2 0.98664 0.0262875 90758346 0.65 100000 3 75 1500 5 3 8
mm-90 0.986314 0.0644188 88596045 0.65 100000 3 75 1500 5 3 8
mm-4 0.985179 0.0459027 89500176 0.65 100000 3 75 1500 5 3 8
mm-60 0.986363 0.481886 88909556 0.65 100000 3 75 1500 5 3 8
mm-3 0.985274 1.77824 90078187 0.65 100000 3 75 1500 5 3 8
mm-36 0.986312 0.043844 88580785 0.65 100000 3 75 1500 5 3 8
mm-1 0.986921 0.0156076 92705534 0.65 100000 3 75 1500 5 3 8
mm-12 0.983772 0.0796775 88856069 0.65 100000 3 75 1500 5 3 8
mm-6 0.986393 0.00430092 89108457 0.65 100000 3 75 1500 5 3 8
mm-20 0.986349 0.290621 88821051 0.65 100000 3 75 1500 5 3 8
mm-5 0.98644 0.0866717 89414119 0.65 100000 3 75 1500 5 3 8
mm-9 0.986383 0.163156 89040843 0.65 100000 3 75 1500 5 3 8
mm-30 0.986289 0.839646 88435671 0.65 100000 3 75 1500 5 3 8
mm-10 0.986376 0.108075 88998780 0.65 100000 3 75 1500 5 3 8
mm-45 0.983058 0.177076 88657756 0.65 100000 3 100 2000 15 2.5 4
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 15 2.5 4
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 15 2.5 4
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 15 2.5 4
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 15 2.5 4
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 15 2.5 4
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 15 2.5 4
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 15 2.5 4
mm-36 0.961504 0.191218 88580785 0.65 100000 3 100 2000 15 2.5 4
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 15 2.5 4
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 15 2.5 4
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 15 2.5 4
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 15 2.5 4
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 15 2.5 4
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 15 2.5 4
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 15 2.5 4
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 15 2.5 4
mm-45 0.985901 1.19949 88657756 0.65 100000 3 100 1500 5 3 4
mm-18 0.985928 0.702223 88831254 0.65 100000 3 100 1500 5 3 4
mm-15 0.985912 1.73791 88727008 0.65 100000 3 100 1500 5 3 4
mm-2 0.986227 0.0193151 90758346 0.65 100000 3 100 1500 5 3 4
mm-90 0.98071 0.0672337 88596045 0.65 100000 3 100 1500 5 3 4
mm-4 0.986034 0.0173257 89500176 0.65 100000 3 100 1500 5 3 4
mm-60 0.980778 0.288834 88909556 0.65 100000 3 100 1500 5 3 4
mm-3 0.986123 1.52759 90078187 0.65 100000 3 100 1500 5 3 4
mm-36 0.985889 0.0307338 88580785 0.65 100000 3 100 1500 5 3 4
mm-1 0.986516 0.0199497 92705534 0.65 100000 3 100 1500 5 3 4
mm-12 0.984227 0.0465972 88856069 0.65 100000 3 100 1500 5 3 4
mm-6 0.984272 0.0130052 89108457 0.65 100000 3 100 1500 5 3 4
mm-20 0.985927 0.207554 88821051 0.65 100000 3 100 1500 5 3 4
mm-5 0.984326 0.129297 89414119 0.65 100000 3 100 1500 5 3 4
mm-9 0.979055 0.083006 89040843 0.65 100000 3 100 1500 5 3 4
mm-30 0.985865 0.54864 88435671 0.65 100000 3 100 1500 5 3 4
mm-10 0.985955 0.134671 88998780 0.65 100000 3 100 1500 5 3 4
mm-45 0.985901 1.19949 88657756 0.65 100000 3 75 2000 10 2 8
mm-18 0.985928 0.702223 88831254 0.65 100000 3 75 2000 10 2 8
mm-15 0.985912 1.73791 88727008 0.65 100000 3 75 2000 10 2 8
mm-2 0.986227 0.0193151 90758346 0.65 100000 3 75 2000 10 2 8
mm-90 0.980676 0.064153 88596045 0.65 100000 3 75 2000 10 2 8
mm-4 0.986034 0.0173257 89500176 0.65 100000 3 75 2000 10 2 8
mm-60 0.984231 0.596696 88909556 0.65 100000 3 75 2000 10 2 8
mm-3 0.986123 1.52759 90078187 0.65 100000 3 75 2000 10 2 8
mm-36 0.978889 0.384309 88580785 0.65 100000 3 75 2000 10 2 8
mm-1 0.986516 0.0199497 92705534 0.65 100000 3 75 2000 10 2 8
mm-12 0.984222 0.0458031 88856069 0.65 100000 3 75 2000 10 2 8
mm-6 0.985972 0.0262288 89108457 0.65 100000 3 75 2000 10 2 8
mm-20 0.985927 0.207554 88821051 0.65 100000 3 75 2000 10 2 8
mm-5 0.98602 0.0860949 89414119 0.65 100000 3 75 2000 10 2 8
mm-9 0.982525 0.164843 89040843 0.65 100000 3 75 2000 10 2 8
mm-30 0.985865 0.54864 88435671 0.65 100000 3 75 2000 10 2 8
mm-10 0.985955 0.134671 88998780 0.65 100000 3 75 2000 10 2 8
mm-45 0.976088 0.655966 88657756 0.65 100000 3 100 2000 15 2.5 10
mm-18 0.985366 0.429506 88831254 0.65 100000 3 100 2000 15 2.5 10
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 15 2.5 10
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 15 2.5 10
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 15 2.5 10
mm-4 0.985475 0.00616811 89500176 0.65 100000 3 100 2000 15 2.5 10
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 15 2.5 10
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 15 2.5 10
mm-36 0.961504 0.191218 88580785 0.65 100000 3 100 2000 15 2.5 10
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 15 2.5 10
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 15 2.5 10
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 15 2.5 10
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 15 2.5 10
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 15 2.5 10
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 15 2.5 10
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 15 2.5 10
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 15 2.5 10
mm-45 0.985337 1.13626 88657756 0.65 100000 3 100 2000 10 3 8
mm-18 0.983092 0.410037 88831254 0.65 100000 3 100 2000 10 3 8
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 10 3 8
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 10 3 8
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 10 3 8
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 10 3 8
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 10 3 8
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 10 3 8
mm-36 0.985324 0.314084 88580785 0.65 100000 3 100 2000 10 3 8
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 10 3 8
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 10 3 8
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 10 3 8
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 10 3 8
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 10 3 8
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 10 3 8
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 10 3 8
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 10 3 8
mm-45 0.985901 1.19949 88657756 0.65 100000 3 75 2000 5 2.5 4
mm-18 0.985928 0.702223 88831254 0.65 100000 3 75 2000 5 2.5 4
mm-15 0.985912 1.73791 88727008 0.65 100000 3 75 2000 5 2.5 4
mm-2 0.986227 0.0193151 90758346 0.65 100000 3 75 2000 5 2.5 4
mm-90 0.980676 0.064153 88596045 0.65 100000 3 75 2000 5 2.5 4
mm-4 0.986034 0.0173257 89500176 0.65 100000 3 75 2000 5 2.5 4
mm-60 0.984231 0.596696 88909556 0.65 100000 3 75 2000 5 2.5 4
mm-3 0.986123 1.52759 90078187 0.65 100000 3 75 2000 5 2.5 4
mm-36 0.985889 0.0307338 88580785 0.65 100000 3 75 2000 5 2.5 4
mm-1 0.986516 0.0199497 92705534 0.65 100000 3 75 2000 5 2.5 4
mm-12 0.984222 0.0458031 88856069 0.65 100000 3 75 2000 5 2.5 4
mm-6 0.985972 0.0262288 89108457 0.65 100000 3 75 2000 5 2.5 4
mm-20 0.985927 0.207554 88821051 0.65 100000 3 75 2000 5 2.5 4
mm-5 0.98602 0.0860949 89414119 0.65 100000 3 75 2000 5 2.5 4
mm-9 0.982525 0.164843 89040843 0.65 100000 3 75 2000 5 2.5 4
mm-30 0.985865 0.54864 88435671 0.65 100000 3 75 2000 5 2.5 4
mm-10 0.985955 0.134671 88998780 0.65 100000 3 75 2000 5 2.5 4
mm-45 0.985901 1.19949 88657756 0.65 100000 3 75 2000 5 3 8
mm-18 0.985928 0.702223 88831254 0.65 100000 3 75 2000 5 3 8
mm-15 0.985912 1.73791 88727008 0.65 100000 3 75 2000 5 3 8
mm-2 0.986227 0.0193151 90758346 0.65 100000 3 75 2000 5 3 8
mm-90 0.980676 0.064153 88596045 0.65 100000 3 75 2000 5 3 8
mm-4 0.986034 0.0173257 89500176 0.65 100000 3 75 2000 5 3 8
mm-60 0.985941 0.355654 88909556 0.65 100000 3 75 2000 5 3 8
mm-3 0.986123 1.52759 90078187 0.65 100000 3 75 2000 5 3 8
mm-36 0.985889 0.0307338 88580785 0.65 100000 3 75 2000 5 3 8
mm-1 0.986516 0.0199497 92705534 0.65 100000 3 75 2000 5 3 8
mm-12 0.984222 0.0458031 88856069 0.65 100000 3 75 2000 5 3 8
mm-6 0.985972 0.0262288 89108457 0.65 100000 3 75 2000 5 3 8
mm-20 0.985927 0.207554 88821051 0.65 100000 3 75 2000 5 3 8
mm-5 0.98602 0.0860949 89414119 0.65 100000 3 75 2000 5 3 8
mm-9 0.982525 0.164843 89040843 0.65 100000 3 75 2000 5 3 8
mm-30 0.985865 0.54864 88435671 0.65 100000 3 75 2000 5 3 8
mm-10 0.985955 0.134671 88998780 0.65 100000 3 75 2000 5 3 8
mm-45 0.985337 1.13626 88657756 0.65 100000 3 100 2000 15 3 10
mm-18 0.985366 0.429506 88831254 0.65 100000 3 100 2000 15 3 10
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 15 3 10
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 15 3 10
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 15 3 10
mm-4 0.985475 0.00616811 89500176 0.65 100000 3 100 2000 15 3 10
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 15 3 10
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 15 3 10
mm-36 0.961504 0.191218 88580785 0.65 100000 3 100 2000 15 3 10
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 15 3 10
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 15 3 10
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 15 3 10
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 15 3 10
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 15 3 10
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 15 3 10
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 15 3 10
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 15 3 10
mm-45 0.978355 0.970209 88657756 0.65 100000 3 75 1500 20 2 4
mm-18 0.981116 0.180988 88831254 0.65 100000 3 75 1500 20 2 4
mm-15 0.978372 0.328438 88727008 0.65 100000 3 75 1500 20 2 4
mm-2 0.98664 0.0262875 90758346 0.65 100000 3 75 1500 20 2 4
mm-90 0.986314 0.0644188 88596045 0.65 100000 3 75 1500 20 2 4
mm-4 0.985179 0.0459027 89500176 0.65 100000 3 75 1500 20 2 4
mm-60 0.936964 0.3173 88909556 0.65 100000 3 75 1500 20 2 4
mm-3 0.919048 1.65854 90078187 0.65 100000 3 75 1500 20 2 4
mm-36 0.971224 0.550969 88580785 0.65 100000 3 75 1500 20 2 4
mm-1 0.986921 0.0156076 92705534 0.65 100000 3 75 1500 20 2 4
mm-12 0.983772 0.0796775 88856069 0.65 100000 3 75 1500 20 2 4
mm-6 0.986393 0.00430092 89108457 0.65 100000 3 75 1500 20 2 4
mm-20 0.983765 0.44792 88821051 0.65 100000 3 75 1500 20 2 4
mm-5 0.98644 0.0866717 89414119 0.65 100000 3 75 1500 20 2 4
mm-9 0.986383 0.163156 89040843 0.65 100000 3 75 1500 20 2 4
mm-30 0.985 0.200303 88435671 0.65 100000 3 75 1500 20 2 4
mm-10 0.986376 0.108075 88998780 0.65 100000 3 75 1500 20 2 4
mm-45 0.966478 0.0533344 88657756 0.65 100000 3 100 2000 20 2.5 6
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 20 2.5 6
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 20 2.5 6
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 20 2.5 6
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 20 2.5 6
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 20 2.5 6
mm-60 0.985378 0.417586 88909556 0.65 100000 3 100 2000 20 2.5 6
mm-3 0.985568 1.59595 90078187 0.65 100000 3 100 2000 20 2.5 6
mm-36 0.943487 0.00748333 88580785 0.65 100000 3 100 2000 20 2.5 6
mm-1 0.985977 0.0129405 92705534 0.65 100000 3 100 2000 20 2.5 6
mm-12 0.983096 0.144442 88856069 0.65 100000 3 100 2000 20 2.5 6
mm-6 0.985411 0.0025051 89108457 0.65 100000 3 100 2000 20 2.5 6
mm-20 0.985364 0.0312716 88821051 0.65 100000 3 100 2000 20 2.5 6
mm-5 0.985461 0.0259683 89414119 0.65 100000 3 100 2000 20 2.5 6
mm-9 0.983131 0.0829521 89040843 0.65 100000 3 100 2000 20 2.5 6
mm-30 0.9853 0.726124 88435671 0.65 100000 3 100 2000 20 2.5 6
mm-10 0.985393 0.133248 88998780 0.65 100000 3 100 2000 20 2.5 6
mm-45 0.983058 0.177076 88657756 0.65 100000 3 100 2000 10 3 4
mm-18 0.976135 0.408196 88831254 0.65 100000 3 100 2000 10 3 4
mm-15 0.985348 1.69728 88727008 0.65 100000 3 100 2000 10 3 4
mm-2 0.985676 0.0196386 90758346 0.65 100000 3 100 2000 10 3 4
mm-90 0.985327 0.0197243 88596045 0.65 100000 3 100 2000 10 3 4
mm-4 0.983218 0.00937641 89500176 0.65 100000 3 100 2000 10 3 4
